name,website,snippet,source,city_confirmed,segment,what_they_make,revenue_band,decision_maker,C1_manufacturer,C2_india_based,C3_differentiated,C4_technical_dm,C5_growing_sector,C6_growth_signals,federer_score,verdict,personalization_hook,notes,auto_flag
ExSURE Pvt Ltd,exsure.in,Exosome-based drug delivery for cancer stem cells,Research/Manual,Pune,Specialty Biotech,Exosome-based drug delivery for cancer stem cells,<Rs.30Cr,Abhishek Dutta (CEO & Founder),Strong: Developing a nano-drug delivery platform in-house,Strong: Pune incubator based,Strong: Targeted exosome delivery to reduce chemo side effects,Strong: Scientific team focused on exosome biology,Strong: Precision oncology and exosome therapy tailwinds,Strong: $350K+ Seed funding recently,100,A - Strong Federer,Using exosome-based drug delivery to target cancer stem cells is a fascinating approach to preventing relapse.,Verified Pune based manufacturer,PASS
BioDimension Technology Private Ltd,biodimension.tech,Biofabricated human tissues for safety testing,Research/Manual,Pune,Specialty Biotech,Biofabricated human tissues for safety testing,<Rs.30Cr,Manojkumar S (CEO & Founder),Strong: Breakthrough platform for biofabricated tissue creation,Strong: Pune incubator presence,Strong: Mimicking real biology as animal model alternative,Strong: Founder with bioprinting and tissue engineering expertise,Strong: Global mandate for alternatives to animal testing,Strong: Continuous R&D into complex organoids,100,A - Strong Federer,The precision of your biofabricated human tissues offers a truly ethical and accurate alternative to animal testing.,Verified Pune based manufacturer,PASS
Atreya Innovations Pvt Ltd,atreyainnovations.com,AI-driven Nadi Tarangini pulse diagnostic device,Research/Manual,Pune,Specialty Diagnostics,AI-driven Nadi Tarangini pulse diagnostic device,<Rs.30Cr,Dr. Aniruddha Joshi (Founder),Strong: Manufacturing patented Nadi Tarangini pulse diagnostic devices,Strong: Pune based,Strong: Merging Ayurvedic pulse diagnosis with AI (Patented),Strong: Founder has PhD and deep technical expertise,Strong: Personalized wellness and diagnostic tech,Strong: 22 health parameters assessment via non-invasive means,100,A - Strong Federer,Seeing how Nadi Tarangini digitizes traditional Ayurvedic diagnostics using AI is a perfect example of scientific execution.,Verified Pune based manufacturer,PASS
Mylab Discovery Solutions,mylabdiscoverysolutions.com,PathoDetect RT-PCR kits and diagnostic platforms,Research/Manual,Pune,Specialty Diagnostics,PathoDetect RT-PCR kits and diagnostic platforms,Rs.100-300Cr,"Hasmukh Rawal (Biotechnologist, Founder)",Strong: Large-scale molecular diagnostic manufacturing facility,Strong: Pune based,"Strong: Proprietary kits for COVID, TB, and rare diseases",Strong: Founder is a biotechnologist-turned-entrepreneur,Strong: Growth in molecular diagnostics and pathogen detection,Strong: Association with Poonawalla group and global supply,100,A - Strong Federer,Your Mylab PathoDetect kits for TB and COVID have set the standard for speed and affordability in Indian diagnostics.,Verified Pune based manufacturer,PASS
Kan Biosys Pvt Ltd,kanbiosys.com,Microbial crop solutions and bio-fertilisers,Research/Manual,Pune,Agri-Biotech,Microbial crop solutions and bio-fertilisers,Rs.30-100Cr,Mrs. Sandeepa Kanitkar (Founder),Strong: 16+ products developed in-house and registered,Strong: Pune based,Strong: Proprietary microbial formulations with global approvals,Strong: Founder is an Industrial Microbiologist with 25+ years experience,Strong: Shift toward organic and biological agri-inputs,Strong: Expansion into US and Australian markets,100,A - Strong Federer,The success of your microbial crop solutions in international markets like the US and Australia is a great indicator of product depth.,Verified Pune based manufacturer,PASS
Valient Biotech,valientbio.com,Microbial solutions for distillery and sugar wastewater,Research/Manual,Pune,Specialty Biotech,Microbial solutions for distillery and sugar wastewater,<Rs.30Cr,Technical Founder (Specialist),Strong: Specialized manufacturing of biotech waste solutions,Strong: Pune based,Moderate: Niche applications in industrial wastewater,Strong: Technically focused leadership,Strong: Industrial sustainability and waste treatment growth,Moderate: Active news and project completions,85,A - Strong Federer,Your innovative microbial solutions for the distillery and sugar industries are crucial for industrial wastewater management.,Verified Pune based manufacturer,PASS
ATRI INDUSTRIES,atriindustries.com,"Food cultures, enzymes, and biotech supplies",Research/Manual,Pune,Specialty Biotech,"Food cultures, enzymes, and biotech supplies",<Rs.30Cr,Technical Specialist,Strong: Specializing in dairy and food cultures,Strong: Pune based,Moderate: Enzyme-based solutions for food processing,Strong: Scientific focus in food processing,Strong: Growing food-tech and dairy processing sectors,Moderate: Stable growth and active supply,85,A - Strong Federer,Great to see a Pune-based firm specializing in food cultures and enzymes for the growing dairy sector.,Verified Pune based manufacturer,PASS
NectarGuard Biotech,nectarguardbiotech.com,Microbial ecosystems for soil health and crop productivity,Research/Manual,Pune,Agri-Biotech,Microbial ecosystems for soil health and crop productivity,<Rs.30Cr,Technical Founder,Strong: Development of specialized microbial agri-inputs,Strong: Pune based,Strong: Focus on soil carbon depletion and microbial collapse,Strong: Scientific approach to agriculture,Strong: Sustainable farming and soil health tailwinds,Moderate: Active website and research updates,90,A - Strong Federer,Addressing soil carbon depletion through specialized microbial ecosystems is a critical mission for Indian agriculture.,Verified Pune based manufacturer,PASS
Technodry System Engineering,technodrysystems.com,Industrial drying and evaporation systems,Research/Manual,Pune,Specialty Chemicals/Pharma Equipment,Industrial drying and evaporation systems,Rs.30-100Cr,Technical Management Team,Strong: Manufacturer of complex industrial process equipment,Strong: Pune (Chakan) based,Moderate: High-tech evaporation systems but broad equipment focus,Strong: Engineering pedigree in management,Strong: Expansion in chemical and pharma manufacturing,Strong: New plant/facility expansion recently in Chakan,90,A - Strong Federer,The complexity of your industrial drying systems in Chakan is a testament to Pune’s engineering strength.,Verified Pune based manufacturer,PASS
MechGreen Manufacturing,mechgreen.com,Pharma and Biotech process equipment,Research/Manual,Pune,Life-science tools,Pharma and Biotech process equipment,<Rs.30Cr,Technical Founder,Strong: Design and manufacture of specialized SS pharma machinery,Strong: Pune (Bhosari) based,Moderate: Specialized pharma process equipment,Strong: Engineering focus for pharma compliance,Strong: Pharma manufacturing equipment growth,"Moderate: Established 2018, steady active presence",85,A - Strong Federer,Your focus on pharma-grade SS process machinery in Bhosari meets the high quality requirements of the biotech sector.,Verified Pune based manufacturer,PASS
Serum Institute of India,seruminstitute.com,Vaccines,Research/Manual,Pune,Vaccines,N/A,>Rs.500Cr,N/A,Weak,Strong,N/A,N/A,N/A,N/A,0,D - Not ICP,N/A,Revenue far exceeds Rs.500Cr limit.,FAIL
Biolinx Labsystems,biolinx.net,Lab Solutions,Research/Manual,Pune,Lab Solutions,N/A,Unknown,N/A,Weak,Strong,N/A,N/A,N/A,N/A,0,D - Not ICP,N/A,"Trader/distributor, not a manufacturer.",FAIL
ChemEngg Research Pvt Ltd,chemenggresearch.com,CRO,Research/Manual,Pune,CRO,N/A,Unknown,N/A,Weak,Strong,N/A,N/A,N/A,N/A,0,D - Not ICP,N/A,"Service company (CRO), not a product manufacturer.",FAIL
Emcure Pharmaceuticals,emcure.com,Pharma,Research/Manual,Pune,Pharma,N/A,>Rs.500Cr,N/A,Weak,Strong,N/A,N/A,N/A,N/A,0,D - Not ICP,N/A,"Large pharmaceutical group, revenue >Rs.500Cr.",FAIL
